"invoiceNo","channel","customer","product","category","price","datetime","quantity","amount","category2","cost"
"N26","s1","c9","p22","kind1",1180,2015-01-31 21:24:06,1,893,"sub4",554.63
"N8","s1","c7","p23","kind1",1680,2015-01-28 20:43:17,1,1435,"sub1",790.27
"N27","s1","c18","p24","kind1",1680,2015-01-03 18:31:05,1,1353,"sub1",790.27
"N20","s1","c14","p23","kind1",1680,2015-01-19 22:18:06,1,1435,"sub1",790.27
"N28","s1","c7","p25","kind1",1480,2015-01-28 16:11:51,1,1260,"sub1",696.19
"N29","s1","c19","p21","kind1",2280,2015-01-03 21:12:03,1,1948,"sub1",1072.51
"N30","s1","c20","p26","kind1",1900,2015-01-25 14:41:17,1,1620,"sub1",1005.33
"N31","s1","c21","p22","kind1",1180,2015-01-05 21:24:57,1,1000,"sub4",554.63
"N32","s1","c22","p27","kind1",980,2015-01-18 19:18:39,1,836,"sub1",460.99
"N29","s1","c19","p25","kind1",1480,2015-01-03 21:36:18,1,1264,"sub1",696.19
"N33","s1","c7","p21","kind1",2280,2015-01-10 20:17:42,1,1948,"sub1",1072.51
"N34","s1","c23","p28","kind1",1680,2015-01-05 15:11:32,1,1510,"sub1",790.27
"N35","s1","c24","p29","kind1",1280,2015-01-23 21:31:32,1,1090,"sub1",602.11
"N36","s1","c25","p22","kind1",1180,2015-01-22 18:09:12,1,1000,"sub4",554.63
"N1","s1","c1","p30","kind1",1280,2015-01-07 20:19:24,1,1093,"sub1",602.11
"N32","s1","c22","p31","kind1",780,2015-01-18 19:20:54,1,664,"sub1",366.91
"N27","s1","c18","p24","kind1",1680,2015-01-03 18:32:12,1,1353,"sub1",790.27
"N37","s1","c26","p32","kind1",2500,2015-01-30 21:03:24,1,2130,"sub2",1323
"N38","s1","c27","p33","kind1",1180,2015-01-24 15:19:12,1,1007,"sub4",520.38
"N23","s1","c2","p31","kind1",780,2015-01-27 21:21:20,1,665,"sub1",366.91
"N20","s1","c14","p34","kind1",1980,2015-01-19 21:49:35,1,1692,"sub1",931.39
"N23","s1","c2","p35","kind1",980,2015-01-27 21:44:41,1,836,"sub4",432.18
"N34","s1","c23","p30","kind1",1280,2015-01-05 15:17:46,1,1150,"sub1",602.11
"N39","s1","c28","p36","kind1",2880,2015-01-12 19:30:45,1,2010,"sub1",1354.75
"N40","s1","c29","p37","kind1",1980,2015-01-11 18:43:42,1,1190,"sub4",931.25
"N41","s1","c30","p37","kind1",1980,2015-01-02 19:53:55,1,1188,"sub4",931.25
"N42","s1","c31","p38","kind1",2480,2015-01-02 12:33:42,1,2120,"sub1",1166.59
"N43","s1","c32","p39","kind1",1980,2015-01-23 15:54:11,1,1692,"sub1",931.39
"N44","s1","c9","p40","kind1",2280,2015-01-17 21:08:19,1,1940,"sub1",1072.51
"N45","s1","c33","p20","kind1",2700,2015-01-11 18:12:21,1,2308,"sub1",1428.84
"N27","s1","c18","p41","kind1",2280,2015-01-03 18:19:19,1,1948,"sub4",1072.51
"N46","s1","c2","p42","kind1",1980,2015-01-31 12:55:12,1,1647,"sub1",931.39
"N47","s1","c9","p42","kind1",1980,2015-01-27 19:44:32,1,1580,"sub1",931.39
"N48","s1","c34","p20","kind1",2700,2015-01-27 16:10:00,1,2052,"sub1",1428.84
"N49","s1","c35","p43","kind1",2700,2015-01-04 13:07:20,1,2300,"sub1",1428.84
"N50","s1","c9","p44","kind1",1080,2015-01-26 19:47:49,1,540,"sub1",508.03
"N39","s1","c28","p45","kind1",1080,2015-01-12 19:26:10,1,648,"sub1",508.03
"N51","s1","c36","p46","kind1",1980,2015-01-25 13:51:09,1,1690,"sub1",931.39
"N52","s1","c37","p47","kind1",1280,2015-01-19 20:38:58,1,1093,"sub1",602.11
"N53","s1","c7","p48","kind1",1980,2015-01-05 13:00:27,1,1690,"sub1",873.18
"N53","s1","c7","p49","kind1",1980,2015-01-05 12:43:11,1,1690,"sub4",931.39
"N54","s1","c38","p50","kind1",1750,2015-01-16 20:02:45,1,1330,"sub1",926.1
"N55","s1","c17","p51","kind1",2280,2015-01-04 13:42:53,1,1457,"sub1",1072.51
"N56","s1","c39","p51","kind1",2280,2015-01-04 19:46:04,1,1948,"sub1",1072.51
"N48","s1","c34","p52","kind1",1750,2015-01-27 16:04:26,1,1330,"sub1",926.1
"N29","s1","c19","p53","kind1",1750,2015-01-03 21:08:47,1,1492,"sub1",926.1
"N57","s1","c40","p54","kind1",750,2015-01-15 14:54:15,1,630,"sub1",374.85
"N24","s1","c9","p55","kind1",2350,2015-01-11 18:53:21,1,2004,"sub1",1243.62
"N58","s1","c41","p55","kind1",2350,2015-01-03 19:23:05,1,2000,"sub1",1243.62
"N59","s1","c9","p56","kind1",2200,2015-01-31 11:52:44,1,1831,"sub1",1164.24
"N41","s1","c30","p57","kind1",2280,2015-01-02 19:47:39,1,1948,"sub1",1072.51
"N60","s1","c17","p58","kind1",5900,2015-01-10 14:40:46,1,3717,"sub1",3121.99
"N47","s1","c9","p58","kind1",5900,2015-01-27 19:39:59,1,4700,"sub1",3121.99
"N61","s1","c17","p58","kind1",5900,2015-01-10 14:49:35,1,3717,"sub1",3121.99
"N62","s1","c42","p58","kind1",5900,2015-01-15 18:34:25,1,3717,"sub1",3121.99
"N63","s1","c43","p59","kind1",2700,2015-01-25 15:30:16,1,2300,"sub1",1429.28
"N64","s1","c44","p60","kind1",5900,2015-01-12 14:16:07,1,3717,"sub1",3122.28
"N64","s1","c44","p60","kind1",5900,2015-01-12 14:35:13,1,3717,"sub1",3122.28
"N19","s1","c13","p58","kind1",5900,2015-01-30 11:24:10,1,4980,"sub1",3121.99
"N65","s1","c17","p58","kind1",5900,2015-01-22 17:28:29,1,3717,"sub1",3121.99
"N66","s1","c9","p61","kind1",2350,2015-01-25 18:45:14,1,2000,"sub1",1244.06
"N67","s1","c45","p62","kind1",3200,2015-01-26 19:47:16,1,2736,"sub1",1693.44
"N68","s1","c46","p63","kind1",3700,2015-01-23 14:45:57,1,3160,"sub1",1958.04
"N8","s1","c7","p64","kind1",3850,2015-01-28 20:22:30,1,3289,"sub1",2037.42
"N69","s1","c47","p62","kind1",3200,2015-01-24 18:34:34,1,2736,"sub1",1693.44
"N10","s1","c9","p65","kind1",4000,2015-01-13 18:27:04,1,3420,"sub1",2116.8
"N70","s1","c48","p66","kind1",2900,2015-01-09 21:08:43,1,2480,"sub1",1534.68
"N71","s1","c49","p67","kind1",2800,2015-01-02 19:09:58,1,2394,"sub1",1481.76
"N72","s1","c9","p68","kind1",2900,2015-01-31 18:26:51,1,2480,"sub1",1534.24
"N73","s1","c50","p67","kind1",2800,2015-01-04 20:36:40,1,2390,"sub1",1481.76
"N74","s1","c7","p69","kind1",2800,2015-01-11 15:44:38,1,2390,"sub1",1481.76
"N75","s1","c51","p67","kind1",2800,2015-01-18 21:39:35,1,2394,"sub1",1481.76
"N76","s1","c52","p70","kind1",3500,2015-01-21 16:57:10,1,2450,"sub1",1852.2
"N73","s1","c50","p69","kind1",2800,2015-01-04 20:33:47,1,2390,"sub1",1481.76
"N77","s1","c53","p71","kind1",2800,2015-01-03 19:44:57,1,2390,"sub1",1481.76
"N78","s1","c54","p72","kind1",2800,2015-01-30 18:07:52,1,1764,"sub1",1481.76
"N79","s1","c9","p72","kind1",2800,2015-01-27 15:39:49,1,2394,"sub1",1481.76
"N80","s1","c55","p72","kind1",2800,2015-01-15 20:28:28,1,1764,"sub1",1481.76
"N81","s1","c7","p72","kind1",2800,2015-01-16 12:26:50,1,2394,"sub1",1481.76
"N82","s1","c56","p72","kind1",2800,2015-01-07 20:51:25,1,2394,"sub1",1481.76
"N83","s1","c57","p72","kind1",2800,2015-01-11 14:13:34,1,2390,"sub1",1481.76
"N84","s1","c58","p60","kind1",5900,2015-01-13 18:07:57,1,3717,"sub1",3122.28
"N85","s1","c17","p73","kind1",3350,2015-01-02 11:27:32,1,2139,"sub1",1772.97
"N86","s1","c7","p74","kind1",3800,2015-01-14 18:50:10,1,3200,"sub1",2010.67
"N61","s1","c17","p58","kind1",5900,2015-01-10 15:10:04,-1,-3717,"sub1",3121.99
"N45","s1","c33","p74","kind1",3800,2015-01-11 18:17:20,1,3249,"sub1",2010.67
"N87","s1","c59","p75","kind1",3200,2015-01-20 15:38:00,1,2430,"sub1",1693.73
"N88","s1","c9","p76","kind2",790,2015-01-17 20:34:53,1,524,"sub2",398.48
"N47","s1","c9","p76","kind2",790,2015-01-27 19:46:45,1,520,"sub2",398.48
"N11","s1","c9","p76","kind2",790,2015-01-29 22:11:23,1,524,"sub2",398.67
"N89","s1","c9","p77","kind2",2290,2015-01-21 16:23:12,1,1738,"sub1",1066.22
"N88","s1","c9","p78","kind2",590,2015-01-17 20:33:22,1,290,"sub1",297.6
"N67","s1","c45","p79","kind2",2490,2015-01-26 19:40:58,1,1892,"sub1",1255.86
"N63","s1","c43","p80","kind2",500,2015-01-25 15:38:20,1,380,"sub1",232.8
"N90","s1","c9","p79","kind2",2490,2015-01-25 17:40:19,1,1890,"sub1",1255.86
"N59","s1","c9","p79","kind2",2490,2015-01-31 11:37:43,1,1840,"sub1",1255.86
"N11","s1","c9","p81","kind2",2290,2015-01-29 22:27:58,1,1738,"sub1",1155.08
"N91","s1","c60","p82","kind1",195,2015-01-12 14:49:48,1,166,"sub3",102.9
"N92","s1","c7","p83","kind1",300,2015-01-25 12:44:35,1,256,"sub1",158.76
"N62","s1","c42","p84","kind1",195,2015-01-15 18:17:50,2,248,"sub3",103.19
"N93","s1","c61","p83","kind1",300,2015-01-25 16:21:31,1,256,"sub1",158.76
"N94","s1","c62","p85","kind1",195,2015-01-06 20:26:41,1,166,"sub3",102.9
"N95","s1","c9","p82","kind1",195,2015-01-08 15:16:22,2,332,"sub3",102.9
"N96","s1","c63","p86","kind1",160,2015-01-11 18:42:43,1,133,"sub3",84.67
"N97","s1","c64","p87","kind1",300,2015-01-16 20:24:59,1,256,"sub3",158.76
"N95","s1","c9","p88","kind1",450,2015-01-08 15:28:57,1,380,"sub1",238.14
"N98","s1","c65","p89","kind1",195,2015-01-25 17:57:51,1,166,"sub1",103.19
"N98","s1","c65","p85","kind1",195,2015-01-25 17:43:30,2,332,"sub3",102.9
"N94","s1","c62","p85","kind1",195,2015-01-06 20:29:25,1,166,"sub3",102.9
"N99","s1","c66","p83","kind1",300,2015-01-02 13:36:32,1,256,"sub1",158.76
"N100","s1","c44","p82","kind1",195,2015-01-09 15:07:41,2,248,"sub3",102.9
"N62","s1","c42","p86","kind1",160,2015-01-15 18:20:27,3,306,"sub3",84.67
"N11","s1","c9","p90","kind2",170,2015-01-29 22:20:24,3,384,"sub3",79.15
"N101","s1","c2","p91","kind2",160,2015-01-18 18:37:45,1,120,"sub3",74.5
"N102","s1","c9","p90","kind2",170,2015-01-27 17:28:53,1,128,"sub3",79.15
"N45","s1","c33","p92","kind1",150,2015-01-11 18:09:11,1,166,"sub3",79.38
"N103","s1","c67","p93","kind1",1180,2015-01-12 21:33:38,1,1000,"sub1",589.76
"N38","s1","c27","p94","kind1",550,2015-01-24 15:24:14,1,466,"sub1",274.89
"N41","s1","c30","p94","kind1",550,2015-01-02 19:44:22,1,466,"sub1",274.89
"N104","s1","c68","p94","kind1",550,2015-01-31 21:11:10,1,460,"sub1",274.89
"N105","s1","c69","p95","kind1",1800,2015-01-21 21:18:51,1,1360,"sub1",899.64
"N106","s1","c67","p93","kind1",1180,2015-01-13 13:54:24,-1,-1000,"sub1",589.76
"N106","s1","c67","p96","kind1",2480,2015-01-13 14:03:53,1,2120,"sub1",1239.5
"N107","s1","c70","p94","kind1",550,2015-01-11 21:13:01,1,460,"sub1",274.89
"N108","s1","c71","p97","kind1",550,2015-01-19 16:41:09,1,466,"sub1",274.89
"N109","s1","c58","p93","kind1",1180,2015-01-18 17:02:00,1,753,"sub1",589.76
"N110","s1","c72","p98","kind1",160,2015-01-06 20:34:17,1,133,"sub1",84.38
"N111","s1","c11","p99","kind1",160,2015-01-05 13:11:26,3,306,"sub1",84.67
"N85","s1","c17","p92","kind1",150,2015-01-02 11:23:41,1,124,"sub3",79.38
"N110","s1","c72","p98","kind1",160,2015-01-06 20:16:02,1,133,"sub1",84.38
"N85","s1","c17","p100","kind1",240,2015-01-02 11:50:42,1,153,"sub3",127.4
"N11","s1","c9","p101","kind1",350,2015-01-29 22:27:18,1,380,"sub3",185.22
"N46","s1","c2","p102","kind1",195,2015-01-31 13:00:14,1,155,"sub1",103.19
"N111","s1","c11","p99","kind1",160,2015-01-05 13:27:24,3,306,"sub1",84.67
"N94","s1","c62","p85","kind1",195,2015-01-06 20:03:42,1,166,"sub3",102.9
"N112","s1","c73","p103","kind1",350,2015-01-30 15:10:16,1,256,"sub1",185.22
"N112","s1","c73","p104","kind1",400,2015-01-30 15:09:11,1,342,"sub1",199.92
"N113","s1","c7","p105","kind1",3600,2015-01-09 11:13:44,1,2730,"sub1",1905.12
"N114","s1","c7","p106","kind1",2480,2015-01-10 13:00:30,1,2100,"sub1",1166.89
"N115","s1","c2","p107","kind1",2280,2015-01-31 12:39:01,1,1900,"sub1",1072.22
"N115","s1","c2","p106","kind1",2480,2015-01-31 12:49:49,1,2100,"sub1",1166.89
"N116","s1","c2","p108","kind1",2750,2015-01-25 21:02:57,1,2348,"sub1",1455.3
"N117","s1","c7","p107","kind1",2280,2015-01-17 20:47:29,1,1940,"sub1",1072.22
"N117","s1","c7","p106","kind1",2480,2015-01-17 20:42:40,1,2120,"sub1",1166.89
"N15","s1","c7","p106","kind1",2480,2015-01-10 20:01:51,1,2120,"sub1",1166.89
"N118","s1","c9","p109","kind1",750,2015-01-11 17:23:07,1,640,"sub1",396.9
"N119","s1","c74","p109","kind1",750,2015-01-04 15:00:14,1,640,"sub1",396.9
"N120","s1","c2","p108","kind1",2750,2015-01-26 16:38:06,1,2348,"sub1",1455.3
"N46","s1","c2","p107","kind1",2280,2015-01-31 12:55:56,1,1896,"sub1",1072.22
"N121","s1","c9","p110","kind1",2950,2015-01-02 12:22:51,1,2518,"sub1",1561.14
"N114","s1","c7","p107","kind1",2280,2015-01-10 12:45:57,1,1900,"sub1",1072.22
"N7","s1","c7","p111","kind1",350,2015-01-17 14:16:03,1,295,"sub1",185.22
"N122","s1","c75","p112","kind1",680,2015-01-11 21:01:25,1,580,"sub3",359.86
"N123","s1","c76","p113","kind1",1250,2015-01-08 19:31:12,1,1280,"sub3",793.8
"N92","s1","c7","p114","kind1",960,2015-01-25 12:48:11,1,814,"sub1",508.03
"N7","s1","c7","p111","kind1",350,2015-01-17 14:19:10,1,295,"sub3",185.22
"N124","s1","c77","p115","kind1",680,2015-01-26 18:15:05,1,580,"sub3",359.66
"N76","s1","c52","p116","kind1",2200,2015-01-21 17:14:27,1,1880,"sub1",1164.24
"N99","s1","c66","p117","kind1",2800,2015-01-02 13:37:07,1,2394,"sub1",1481.76
"N125","s1","c9","p118","kind1",2200,2015-01-01 15:57:01,1,1881,"sub1",1164.24
"N114","s1","c7","p119","kind1",3500,2015-01-10 12:53:32,1,2900,"sub1",1852.2
"N95","s1","c9","p120","kind1",3850,2015-01-08 15:19:38,1,3287,"sub1",2037.42
"N126","s1","c78","p121","kind1",1600,2015-01-21 19:54:39,1,1368,"sub1",846.72
"N127","s1","c79","p121","kind1",1600,2015-01-25 21:00:16,1,1120,"sub1",846.72
"N128","s1","c2","p119","kind1",3500,2015-01-24 18:21:28,1,2992,"sub1",1852.2
"N71","s1","c49","p66","kind1",2900,2015-01-02 18:58:45,1,2204,"sub1",1534.68
"N88","s1","c9","p116","kind1",2200,2015-01-17 21:01:54,1,1881,"sub1",1164.24
"N24","s1","c9","p66","kind1",2900,2015-01-11 18:50:37,1,2480,"sub1",1534.68
"N129","s1","c9","p122","kind2",990,2015-01-26 19:24:18,1,750,"sub1",460.94
"N33","s1","c7","p123","kind2",1990,2015-01-10 20:03:22,1,1511,"sub1",926.52
"N130","s1","c80","p124","kind2",1990,2015-01-16 16:10:20,1,1190,"sub1",1003.76
"N131","s1","c9","p125","kind2",1890,2015-01-30 15:53:54,1,1434,"sub1",879.98
"N132","s1","c81","p126","kind2",2290,2015-01-25 12:52:00,1,1730,"sub1",1066.22
"N133","s1","c11","p127","kind2",1990,2015-01-17 13:43:10,1,1272,"sub1",926.54
"N134","s1","c82","p128","kind2",350,2015-01-22 17:21:15,1,266,"sub3",162.96
"N135","s1","c83","p129","kind2",180,2015-01-25 15:12:19,1,133,"sub3",83.81
"N136","s1","c41","p130","kind2",2290,2015-01-03 19:13:34,1,1730,"sub1",1066.22
"N137","s1","c84","p131","kind2",1190,2015-01-18 12:53:40,1,595,"sub1",554.06
"N137","s1","c84","p132","kind2",1390,2015-01-18 12:41:55,1,695,"sub1",647.18
"N138","s1","c6","p133","kind2",1690,2015-01-14 20:43:57,1,1280,"sub1",786.86
"N135","s1","c83","p134","kind2",160,2015-01-25 15:06:54,1,120,"sub3",74.5
"N11","s1","c9","p135","kind2",1490,2015-01-29 22:23:17,1,1130,"sub1",693.74
"N58","s1","c41","p130","kind2",2290,2015-01-03 19:34:21,-1,-1730,"sub1",1066.22
"N53","s1","c7","p136","kind2",2690,2015-01-05 13:12:36,1,2040,"sub1",1252.46
"N21","s1","c15","p135","kind2",1490,2015-01-06 16:49:53,1,1130,"sub1",693.74
"N50","s1","c9","p137","kind2",890,2015-01-26 19:44:25,1,445,"sub1",414.38
"N53","s1","c7","p133","kind2",1690,2015-01-05 13:12:04,1,1280,"sub1",786.86
"N139","s1","c85","p138","kind2",1090,2015-01-02 16:50:13,1,827,"sub1",507.5
"N11","s1","c9","p139","kind2",990,2015-01-29 22:27:31,1,440,"sub1",460.94
"N129","s1","c9","p140","kind2",390,2015-01-26 19:47:18,1,294,"sub1",181.58
"N40","s1","c29","p141","kind2",1990,2015-01-11 18:40:43,1,1510,"sub1",926.54
"N101","s1","c2","p142","kind2",180,2015-01-18 18:39:15,1,133,"sub3",83.81
"N9","s1","c8","p143","kind2",550,2015-01-17 20:03:56,1,418,"sub1",256.08
"N140","s1","c9","p144","kind2",1690,2015-01-07 14:04:06,1,1282,"sub1",786.86
"N56","s1","c39","p145","kind2",2290,2015-01-04 19:43:44,1,1739,"sub1",1066.22
"N131","s1","c9","p146","kind2",2390,2015-01-30 16:08:14,1,1814,"sub1",1112.78
"N141","s1","c9","p147","kind2",2290,2015-01-18 15:17:33,1,1738,"sub1",1155.08
"N142","s1","c7","p148","kind2",2290,2015-01-28 21:30:58,1,1738,"sub2",1154.98
"N60","s1","c17","p149","kind2",1490,2015-01-10 14:24:48,1,952,"sub2",751.56
"N21","s1","c15","p150","kind2",1090,2015-01-06 16:52:41,1,650,"sub1",507.5
"N143","s1","c86","p147","kind2",2290,2015-01-11 20:54:12,1,1739,"sub1",1155.08
"N102","s1","c9","p151","kind2",2090,2015-01-27 17:12:42,1,1586,"sub1",1054.2
"N144","s1","c87","p152","kind2",1790,2015-01-04 18:58:26,1,1070,"sub1",902.88
"N145","s1","c9","p153","kind2",2690,2015-01-29 21:10:33,1,1880,"sub1",1356.84
"N146","s1","c2","p153","kind2",2690,2015-01-04 11:42:27,1,1880,"sub1",1356.84
"N147","s1","c9","p153","kind2",2690,2015-01-30 18:10:55,1,1837,"sub1",1356.84
"N140","s1","c9","p154","kind2",1290,2015-01-07 14:00:58,1,978,"sub1",600.62
"N148","s1","c7","p155","kind2",2690,2015-01-03 18:20:05,1,2040,"sub1",1252.46
"N148","s1","c7","p156","kind2",1890,2015-01-03 18:11:53,1,1430,"sub1",879.98
"N149","s1","c6","p157","kind2",1490,2015-01-25 15:02:40,1,1130,"sub1",751.56
"N150","s1","c69","p158","kind2",1490,2015-01-21 21:10:07,1,1130,"sub1",751.56
"N30","s1","c20","p159","kind2",2490,2015-01-25 14:43:20,1,1740,"sub1",1255.96
"N90","s1","c9","p160","kind2",2290,2015-01-25 17:20:55,1,1738,"sub1",1155.08
"N151","s1","c7","p161","kind2",3990,2015-01-10 15:32:10,1,3030,"sub1",2012.56
"N152","s1","c2","p162","kind2",2290,2015-01-10 20:29:15,1,1739,"sub1",1155.08
"N153","s1","c9","p163","kind2",1890,2015-01-11 19:15:40,1,1434,"sub1",953.32
"N154","s1","c9","p164","kind2",2290,2015-01-12 20:04:24,1,1738,"sub1",1155.08
"N155","s1","c88","p165","kind2",1690,2015-01-28 19:20:57,1,1283,"sub1",852.44
"N101","s1","c2","p166","kind2",2190,2015-01-18 18:50:12,1,1657,"sub1",1104.55
"N156","s1","c9","p76","kind2",690,2015-01-29 22:29:04,1,524,"sub1",348.04
"N128","s1","c2","p165","kind2",1690,2015-01-24 18:27:53,1,1283,"sub1",852.44
"N157","s1","c88","p165","kind2",1690,2015-01-28 19:07:10,1,1283,"sub1",852.44
"N79","s1","c9","p167","kind2",3090,2015-01-27 15:30:03,1,2346,"sub2",1558.48
"N158","s1","c89","p168","kind3",1180,2015-01-18 13:59:25,1,893,"sub1",572.3
"N108","s1","c71","p168","kind3",1180,2015-01-19 16:20:46,1,940,"sub1",572.3
"N24","s1","c9","p169","kind3",380,2015-01-11 19:00:12,1,285,"sub1",184.3
"N47","s1","c9","p170","kind3",1980,2015-01-27 19:54:06,1,1502,"sub2",999.1
"N140","s1","c9","p171","kind3",1080,2015-01-07 14:02:58,1,750,"sub1",492.76
"N159","s1","c90","p171","kind3",1080,2015-01-29 18:30:14,1,540,"sub1",492.76
"N159","s1","c90","p171","kind3",1080,2015-01-29 18:50:01,1,540,"sub1",492.76
"N160","s1","c91","p172","kind3",3580,2015-01-03 20:21:26,1,2700,"sub4",1632.51
"N161","s1","c2","p173","kind3",1980,2015-01-26 20:01:34,1,1500,"sub4",903.07
"N162","s1","c9","p174","kind3",580,2015-01-27 15:38:28,1,437,"sub3",281.3
"N163","s1","c17","p175","kind3",1980,2015-01-03 20:15:17,1,1263,"sub1",903.07
"N129","s1","c9","p176","kind3",1080,2015-01-26 19:34:03,1,817,"sub1",492.76
"N9","s1","c8","p177","kind3",380,2015-01-17 20:07:08,1,285,"sub1",184.3
"N162","s1","c9","p178","kind3",580,2015-01-27 15:24:20,1,400,"sub1",281.3
"N26","s1","c9","p179","kind3",780,2015-01-31 21:26:54,1,589,"sub1",355.99
"N108","s1","c71","p180","kind3",120,2015-01-19 16:23:54,1,90,"sub3",58.2
"N21","s1","c15","p181","kind3",120,2015-01-06 16:34:04,1,90,"sub3",58.2
"N21","s1","c15","p181","kind3",120,2015-01-06 16:56:52,1,90,"sub3",58.2
"N164","s1","c92","p180","kind3",120,2015-01-20 12:01:19,1,90,"sub3",58.2
"N51","s1","c36","p181","kind3",120,2015-01-25 13:23:57,1,90,"sub3",58.2
"N51","s1","c36","p181","kind3",120,2015-01-25 13:37:52,1,90,"sub3",58.2
"N91","s1","c60","p182","kind3",150,2015-01-12 14:42:00,1,114,"sub3",72.75
"N164","s1","c92","p183","kind3",120,2015-01-20 11:56:10,1,90,"sub3",58.2
"N165","s1","c93","p184","kind3",120,2015-01-20 19:04:03,2,180,"sub3",58.2
"N101","s1","c2","p184","kind3",120,2015-01-18 18:32:55,1,90,"sub3",58.2
"N135","s1","c83","p183","kind3",120,2015-01-25 14:47:05,1,90,"sub3",58.2
"N15","s1","c7","p185","kind4",2780,2015-01-10 20:10:43,1,1390,"sub4",862
"N122","s1","c75","p186","kind4",1980,2015-01-11 21:08:33,1,990,"sub1",614
"N132","s1","c81","p187","kind4",980,2015-01-25 12:50:07,1,490,"sub1",304
"N132","s1","c81","p187","kind4",980,2015-01-25 13:15:34,1,490,"sub4",304
"N122","s1","c75","p188","kind4",980,2015-01-11 21:04:56,1,490,"sub1",304
"N166","s1","c94","p189","kind5",349,2015-01-29 17:32:22,1,349,"sub1",169.27
"N167","s1","c95","p190","kind5",390,2015-01-23 21:22:07,1,390,"sub1",213.4
"N11","s1","c9","p191","kind5",300,2015-01-29 22:23:57,2,600,"sub1",145.5
"N50","s1","c9","p192","kind5",320,2015-01-26 19:35:18,1,320,"sub1",164.9
"N11","s1","c9","p193","kind5",490,2015-01-29 22:21:50,1,490,"sub1",237.65
"N168","s1","c96","p194","kind6",1180,2015-01-18 21:03:28,1,893,"sub1",590
"N169","s1","c97","p191","kind7",1380,2015-01-04 21:05:03,1,1170,"sub1",759
"N110","s1","c72","p191","kind7",1980,2015-01-06 20:35:57,1,1692,"sub1",1089
"N170","s1","c98","p195","kind8",1700,2015-01-17 21:02:05,1,850,"sub1",906.95
"N171","s1","c99","p196","kind3",1680,2015-01-03 14:00:47,1,1274,"sub1",766.3
"N172","s1","c7","p197","kind9",1580,2015-01-14 17:08:57,1,1277,"sub1",858
"N173","s1","c100","p198","kind3",1980,2015-01-02 15:00:41,1,1500,"sub4",903.07
"N174","s1","c101","p199","kind9",2280,2015-01-03 17:01:37,1,1150,"sub1",1238.5
"N163","s1","c17","p200","kind3",1980,2015-01-03 20:28:27,1,1263,"sub1",903.07
"N170","s1","c98","p201","kind9",1580,2015-01-17 20:35:23,1,1100,"sub1",718
